ID_sample	PCD_Subtype
253_R	PCD-A
254_R	PCD-A
255_R	PCD-A
256_R	PCD-FA
257_R	PCD-FA
258_R	PCD-NF
259_R	PCD-NF
260_R	PCD-NF
261_R	PCD-NF
348-R	PCD-PN
356-R	PCD-FA
262_R	PCD-A
263_R	PCD-NF
264_R	PCD-A
c8b12790-eaf5-4871-8d4d-7e6b0e9d3e61	PCD-FA
c8154cb8-d29e-47f2-891c-d631f25ab41b	PCD-FA
d04691e2-a8d9-4842-8c83-11dde8b1d8d5	PCD-NF
0876c0fb-e616-434c-a9d7-baf8eec50f0d	PCD-FA
addabf29-b512-442b-8429-7f1c62b9f546	PCD-P
055b1980-0c7f-46f6-9e54-5c52da328296__f983075c-d5ea-41b6-b1cf-e030bc8ab095	PCD-NF
27a45295-d131-4995-a629-b38555f11d7d	PCD-NF
c9f5cfe7-4255-475a-a447-4925ca06df67	PCD-A
f7ea3163-5f54-47f0-bc3d-92b1e2d76135	PCD-A
4968f9c6-87e9-45a3-a983-2579a8212735__b1b745e6-cae0-4623-b6c2-7fd515318b1d	PCD-A
4229ad55-48de-4ebd-bd41-0c58878856c5	PCD-P
65647909-2a7e-4134-8aa8-8b856ae0533c	PCD-FA
76f43710-768e-4529-887c-4854553241ea	PCD-P
7abde899-54db-4308-840a-b532a4ff7d65	PCD-FA
6ccc231c-515e-491d-98f1-96dae81c8dc4	PCD-PN
e5d59176-fcd3-4164-ba43-276c7454ab22	PCD-FA
d6ec5533-e8b6-4a14-a455-cf81730938ad	PCD-NF
fc256821-41c9-47f2-9957-4532e21a40cd	PCD-PN
e9dac183-b6d2-4cf0-a54f-537a8386d08f	PCD-NF
197adde4-d1e8-48fd-b7af-4a72c4f33145	PCD-FA
feead7bf-e439-40ce-b1fe-23f06df0c5d6	PCD-P
1a0b436d-7609-402d-97f2-4fe4544f8f84	PCD-FA
eeaa8593-c34d-41cb-8b29-f5989cbfcadd	PCD-A
90d501c9-8c51-4490-88f7-96186c4aa42e	PCD-A
0aca2c39-1330-4638-836b-e343321aa69f	PCD-A
10d6a8b3-a2e1-4428-9091-8d4085e5abc6	PCD-FA
bad95903-cb7a-4db5-988a-c4d5c3135ec8	PCD-NF
16f68636-f432-424b-b6b9-862598fd4c9f	PCD-NF
deebc8ef-52d4-43d0-8739-194383726bb6	PCD-FA
6b44d622-a6a9-4296-aa26-d782c23a57a2	PCD-PN
51569702-1a49-4646-8f35-1ea84d3411a1	PCD-A
fe3fff51-2a05-4fb7-8f59-dcd1173a4f52	PCD-FA
c5148c96-4b2e-4980-9276-ad2ccedb3e2b	PCD-FA
da4334cc-2278-47fb-8e01-451cf0f95721	PCD-A
8b43df4e-a063-4c53-b48b-74b6048771f1	PCD-FA
a9ec9457-87b5-434d-b540-aea93b9fbfd0	PCD-PN
23e93ffa-925b-48a7-9589-7708ffc03d10	PCD-P
e2850021-f01b-4529-a99f-9e2d485f73b0	PCD-A
89ee14e8-c27e-4bb9-b03e-59a79381ed75	PCD-A
9074871a-34eb-4db3-af1b-b7a3811f1c5c	PCD-FA
5e4fdbff-ddcc-4ec0-ac4b-258f448aa716	PCD-P
d6b39b65-979c-41ad-a640-c254a36073ae	PCD-FA
f3925dad-54f8-4eb7-afaa-f4efb43bf36e	PCD-NF
04612cb9-d226-417c-8917-a0a2cc549e5b	PCD-A
659f33cb-e0f2-456a-9dff-39c33c39767c	PCD-P
510a0fea-8dda-4e77-b688-f9cb3bcd3d8b	PCD-PN
1b5f3393-9f11-4f6f-bcee-d1a1c91ba555__f84146d3-b67b-498e-8350-d8b22257b530	PCD-FA
9ccc833c-363a-49da-9376-e081efd8873e	PCD-FA
eedf6c37-be48-4eb6-a90f-8de19c657541	PCD-PN
30c2ee8d-7311-4c83-a827-4cd6a11499b1	PCD-A
1c816bd4-c380-4342-aa25-c0cb0cd39447	PCD-PN
5493b265-dd8d-4621-904b-4c815ca980f2	PCD-P
6deebfd0-1357-4c38-8268-ad2fbc85bead	PCD-FA
644ea9d2-e497-499a-a580-472489553f9f	PCD-A
17d341dc-cc7f-4efa-9725-3974b1c5efd0	PCD-A
22809d8b-fe81-4e5c-9c5a-9a58f5f53e92	PCD-FA
c9fde988-dd85-4476-98e6-f485d8a0efb1	PCD-A
d348aec0-d9cd-4e39-a1cf-546c73c5c286	PCD-P
46cdd3b9-032b-4a1c-b2c0-fdda6401d1e4	PCD-A
7d8eb85d-8617-4736-93be-4d5711d16e9f	PCD-P
dab1d0d1-3eec-41d6-96ba-8f16cc3e60f5	PCD-A
a92d0378-51cb-40f7-860c-52a3d11aed4f	PCD-P
f0218576-ada3-47fb-978e-3d07f4d07666	PCD-A
10ffd10d-f551-441e-a287-baf9263013c6__1994eb7f-2975-4444-aee6-7f568a06f1f1	PCD-PN
27f9335d-c493-4290-a385-056e9afaa2e6__6cff0345-97ae-4198-b413-72fcafe094ee__fcbf0a05-def0-4461-9e08-ec53e30197cf	PCD-PN
b76720db-8d47-4c95-8b4b-b51ff66da8be__c40bf848-8c4e-43cb-98d2-2820c621e2c8__eb2b29db-2b40-44b2-8e2e-d83ff4b9dd96	PCD-PN
235a0f98-339c-498d-8452-accd9554f67d	PCD-A
476bb58d-18bd-4c6b-b6b1-b68782697ed4	PCD-FA
a3dc1947-6593-41d1-ad10-90ed193a638b	PCD-PN
503d1031-c06c-4a1c-9558-25b799595d56	PCD-A
c6ecab9f-2e5e-45ef-8ae0-a17414a8334c	PCD-P
e65b4a25-b2eb-47cf-b01a-a3164f687520	PCD-P
564fc785-4328-42a1-bb05-2c1558aeeb08	PCD-NF
c43c4d5e-a8de-46a8-9ae9-f0146341c6d7	PCD-A
b0765dde-9bf8-405b-80a5-eaab76c77a30	PCD-PN
57826b73-baf2-4421-8358-2ba5d540ab2c	PCD-P
f595cc43-0d41-4720-aa34-a6639ec83a01	PCD-P
10cbb9fd-26e4-43f7-b999-7eba8f2d65ec__9e7a68c4-1472-417c-a0d4-c84c4c61ce4b	PCD-PN
6787083c-d663-41d2-a293-ef838432a066	PCD-A
9b21a964-5c0a-4ad6-84a1-87555bf7d195	PCD-FA
7f941f9f-b155-4d44-b3d2-6c01b076ac00	PCD-P
cf3b68e8-4fea-46a4-b0bf-85f0619bebdb	PCD-A
3b8d9f6b-e030-43ce-80d0-df0d527960ca	PCD-PN
e6efeeda-c61f-4243-ab9c-9138ced0f9aa	PCD-PN
5d5fbdae-7b3e-4b91-85d8-b3ee4c7cb3df	PCD-FA
774af7f2-5a53-4fff-88e4-d44cb05e1494	PCD-FA
d26c2302-61f3-48c9-a7f3-53e383d24b19	PCD-NF
a65b241c-2559-4848-a0f7-c72cf6d63ddd	PCD-FA
95d9801a-70f0-49e2-86d6-a78af6738e59	PCD-P
921cf871-f3ea-44f2-b0ef-4dede9a661b3	PCD-A
955ffc68-b2b8-4629-bc30-604e8cf80c5e	PCD-P
4a2414fa-67c1-4faf-a3ec-5a99d8ef15a3	PCD-A
8999c6df-b66b-4749-97c1-f3b75697b37d	PCD-P
2a174de8-cf21-4dbf-b601-ea9b710866bc	PCD-P
6f56d3a0-5c29-4956-b02a-8636957c94f3	PCD-PN
6e0a71a6-2169-4c63-a0b5-5466ae1d8d8e	PCD-PN
a7d2ad6a-b457-4385-b39e-57d6effb7d19	PCD-FA
6f44643e-b8d8-42bc-92c4-07329ab238ea	PCD-A
b104b358-745c-4123-9113-9d32f17004e3	PCD-FA
9b83331a-4bac-43a5-b745-ae320393520d__ea527177-f384-49ae-bf04-9d639dd11f5a	PCD-P
72df0fc1-a281-4325-9cf8-9a66808bd1eb	PCD-A
9c039399-91c5-4779-a266-93fa3e03e03d	PCD-PN
7b0a1ef2-aa4c-4046-a1b5-9a02fb3aa205__8a6efbf1-cb9b-474d-8a67-11747f0dc84e	PCD-FA
fe3dea76-3ac8-4e45-80c5-6c2b0c9077d7	PCD-NF
e267b485-8da1-42aa-8686-4057bc718d4b	PCD-PN
3d608887-c507-4378-8222-b30e7107fc00	PCD-A
d9976d69-ead1-4b60-ad9d-be92238bc853	PCD-A
31148433-20ee-4d91-99d1-527bf6d6a2ba	PCD-PN
95bba73b-f215-4b5c-8183-9928d9d511ff	PCD-FA
5bf103f3-22fd-4281-b713-24811af772a5	PCD-NF
49053342-efd4-4e02-9362-95bdb0713bb9	PCD-PN
01ed0193-216c-40b1-bdf9-3a8a56f972ae	PCD-NF
8d27ac05-2511-41ba-b3e4-181d77587d89	PCD-A
11f83251-f6ee-4433-b23a-13508f6460a1	PCD-A
48d26e2e-0e14-4369-ad2f-290ab9138583	PCD-FA
978b40fd-f4a9-4cdd-82a0-5e34bc5a1b58	PCD-NF
9deb7a6b-72dc-47f1-98a6-de492c43fa68	PCD-P
b929b222-7355-476e-8718-766dcb5c04b7	PCD-PN
915c8e6b-8060-4c43-b1b7-1985244fb174	PCD-P
d48924d0-6757-4d9c-aed4-d92459a370f6	PCD-PN
517c3923-0ab4-443e-a72d-96b4bfe731c4	PCD-PN
b9603cd7-40be-4952-93dd-76631666c251	PCD-FA
de8493f8-9416-433c-af3c-a50bd44afcc1	PCD-FA
ef4bbe7e-d06f-46b8-8161-c55b24262446	PCD-FA
42ed3c50-13bf-4e42-8282-0cea57c60996	PCD-A
b3bace22-0c0d-4466-bf43-0445f90fbdd9	PCD-A
260e0851-37da-4a2f-a136-6016bc7c2fa3	PCD-A
38d4bd5a-adc4-456c-9c52-6c4bb35e83d1	PCD-A
18f23b20-a975-47e4-942c-7c246f9ff91b	PCD-NF
30448a94-f4c3-48b9-8ecf-210c6b1e263e	PCD-P
0bd263a3-de54-4514-874b-a834d0508eef	PCD-PN
40e1b971-b805-4b71-b610-c436ef50a02f	PCD-FA
861c14c7-4d35-4fcd-bdc8-69b49dd560f0	PCD-PN
7895db93-aba6-4caa-9122-6d315808cb8a	PCD-FA
6d9b8c32-9211-433f-b2d8-d4a121481203	PCD-PN
2e6c00dc-2bb3-4d56-8d9b-b6e20adfa1f1	PCD-PN
6464fff6-85fb-402e-9d9b-b8d29ecd772d	PCD-FA
f19f7c3f-795b-41cf-b632-dfdd9d53e8cb	PCD-PN
fc840a34-752e-4dd5-9512-d567b6ddf71c	PCD-FA
66364fc1-5e9f-49ec-9fcc-12f0e547c87c	PCD-PN
babf88e0-1797-4e2b-adf4-2327be343cf8	PCD-A
6b4ca01c-c6c6-4cbe-9cb5-bece8f5704d8	PCD-A
937e8fdf-2374-4ce6-9a6b-9f997e23ad4d	PCD-FA
e4622ef1-a3f3-4d9e-92a5-e244bbfa781c	PCD-NF
36d3290a-b54e-4a1c-9b1d-f0ca78ac60ed	PCD-PN
8b48233b-2e99-4e90-884f-69f7daf3cd85	PCD-PN
8039a49f-0688-432c-918b-0f3f9d3e8ec2	PCD-A
d2f9e322-5b2c-46f9-b3f3-b64e1489b177	PCD-NF
4266ecc1-795a-45eb-b5ab-a4285a5f8753	PCD-FA
86007757-f482-47a0-82b9-506d5d9a275b	PCD-FA
4591a53d-5668-4a70-b44b-e08a3d59267e	PCD-FA
984109ff-a992-4233-8b66-c24a0a2cfa08	PCD-A
c216d883-4767-4659-965c-1b5b340b606f	PCD-NF
07f62332-1eee-46f5-af27-21b92bc416e3	PCD-FA
baeaf28a-7619-43ea-8440-fc8e54ca3150	PCD-PN
a1a06007-fa8f-45cd-ba70-c1d0a14c208b	PCD-A
8ae94817-6e9d-4df0-9e20-ae4b034b4962	PCD-A
a1a54e1a-7b98-419d-ac26-63ae22ea3620	PCD-A
779f4904-9e19-409a-bc09-a729877646c6	PCD-A
f9b6fd25-7ae4-45ff-bf3f-e4060efe7ac7	PCD-A
29396e38-27d4-49e1-b0b8-1e8db7dc45ae	PCD-NF
3bab57fc-7661-489e-80cd-1b70f5f6d128	PCD-A
db874cae-5da2-44a4-b591-df37c8a4e33e	PCD-NF
c058bf93-3aa5-4a87-974a-9936736c84fd	PCD-FA
5c2a012d-2113-41e3-8eb0-6944c790363f	PCD-A
7b12edaf-0d99-4cf2-950a-8d0cae1500a4	PCD-P
add6e7d1-03ce-479c-bdd4-f39866357324	PCD-NF
0b780f0b-eedb-4d82-b24b-26d21c4455ba	PCD-NF
deae7e20-a45c-4bcf-b5d1-c59ec0a97a2d	PCD-PN
9cec7514-2461-4666-a722-221465b25c7f	PCD-PN
f00c43ea-35be-4e90-8854-8c03cbc46b50	PCD-P
a697d24a-7baf-48b0-9494-c75661b01db1	PCD-PN
5739f899-065e-4a76-85fe-a6191e99be28	PCD-PN
b1740653-9043-4e40-955b-5a6e348a0a9f	PCD-A
54e96ff3-c813-40cd-80c9-5a64bc0027eb	PCD-P
8afb4e36-d73f-4c2b-a3a3-2ac922ad2e97	PCD-P
fcaba096-2f2d-4611-8feb-2a55d6b0fa1a	PCD-NF
ce7723b5-9182-4e56-860e-3655d873692b	PCD-P
0420dc35-d0de-4090-b184-89cc7d04680f	PCD-A
70cf560c-06ba-41f3-9e72-8687513afded	PCD-A
bc1f7be1-a227-4656-94ad-6a9e83069924	PCD-FA
523f34bc-abab-4477-a6b1-3f994d29d320	PCD-PN
608d55a4-3041-4f97-a776-ba5a39f5f282	PCD-FA
790912d7-2810-4c9d-9073-44a361f69273	PCD-A
bf27a624-3523-41f8-ab24-4dd700c60824	PCD-A
3d1e938d-1803-4f0c-ba46-aaec4157e6b7	PCD-PN
7de76da0-2f74-40d9-98ed-880377ac8acd	PCD-A
92424f8a-ab0f-4fb6-b1ef-56906e9b7572	PCD-PN
ba585cef-1536-4a55-bf8f-06cf2d34b451	PCD-NF
81f71020-5110-4d6c-a461-4c2909db5f0e	PCD-PN
8913f776-fd7a-4345-9ced-bda1a2496b33	PCD-FA
b810329d-ed2e-43ff-8f6e-1fc47139d523	PCD-PN
fb1066e1-d9ec-44e0-89c6-57f5b77f099c	PCD-PN
7a4ef07c-dd9b-497a-b088-bf3f2ec38132	PCD-PN
e10d2ef8-b134-4929-9d01-756e3419d452	PCD-A
9796fbb4-b7c3-4b49-96a5-dd727e8a49cc	PCD-A
e0dab8ee-9d6e-4a1d-bf3e-602dfd262baf	PCD-A
35b3477a-8814-4f40-ae47-7b40992e1a0f	PCD-FA
a6e3f038-7c41-4961-8833-3f9382d07281	PCD-A
220b6505-51f5-4c89-a96a-a9d35d019524	PCD-A
47ca2331-a860-44ca-a069-e2b2aea76a3e	PCD-NF
0e9ebb02-7b2c-4c01-9d7e-af9d0e5e68fc	PCD-NF
93c796e1-7ccb-468a-9b1a-e3da63b9ede5	PCD-A
87d455f6-4be6-4f79-b343-c4efbbd3f707	PCD-PN
a6ede44d-0206-4fc6-9888-2dea75a5cf46	PCD-NF
b67a10a4-1866-44a2-bb68-1a8ec8652427	PCD-A
9debf573-6376-42d9-92f2-05200440a896	PCD-FA
bd5b96f6-b570-4ee8-b2e1-0131515cc980	PCD-A
331b4168-af74-44c4-9c2c-235b295a32aa	PCD-PN
c6cb701b-98e7-479b-858d-48725a02f55c	PCD-NF
0d7a2e99-e3c0-4b06-8109-24f3b7b5cdcb	PCD-A
b8952cfa-68f7-42da-a6fb-aac4357e0813	PCD-PN
c592c1c2-b8c8-42b8-867e-79208cb14155__db794355-9d14-4917-ac65-fccf0951ef4b	PCD-A
68de0994-c58e-4042-9b8d-863f798171b3	PCD-P
4c8f9392-2b64-4ef1-a6f2-db31e3f2b02b	PCD-FA
42fd6f25-8f43-4ff2-844e-d99ded7c3598__cb11fd26-37ba-4dad-83f3-99c05588bf77	PCD-P
905cfe23-4855-4707-8072-2eccbb0a40cd	PCD-PN
452348e2-ee6d-4acc-a373-a391bfc08bb6__a4285cdd-0ee4-451a-a054-29ec853e6078	PCD-A
a26f1b10-922f-4386-bfb2-5a050e4a513f__c7c01f70-d216-404a-b3b1-f5a7593a31d1	PCD-PN
3fa5aa04-7cd2-4ca9-a78a-8102f3300f0e__af00a999-77f6-4722-8f2a-caf51871a566	PCD-A
28a0d90a-5483-46bc-954d-2ed7bec4d2f7__6f90d1eb-806f-478f-a1d2-430b26ebd395	PCD-P
f6b130cd-12bf-47fa-8e11-c46f58941e4d	PCD-PN
20fc29d0-1060-4e43-aa08-3ca817a95ae4__523d96ac-7f20-4e80-9fa3-120fa080c75b	PCD-PN
2cd374ab-8646-4803-8878-4d7f993b256e__a11f5dd3-63e5-4403-8735-d0fcc79e2e6b	PCD-PN
80402924-c2e0-4764-9b4c-6961d95f0580__cf007fef-9991-44a0-9c1e-f7a7e6ee6e84	PCD-NF
38148721-d38a-49a1-987a-18047ee89cae	PCD-A
f24bdea5-658f-4b4d-8b66-52b77b851290	PCD-NF
b77cc044-fcc5-47e2-b0c8-148c161d0586	PCD-A
e35f16ca-6e38-467a-9610-323b2e518f13	PCD-NF
c2d2959f-ee41-40f5-92f8-845ca44959a5	PCD-A
074884d4-a09e-475f-b710-946517b34356	PCD-P
7c1cdbcb-0345-4fe6-93cb-3402b93072ab	PCD-PN
4c1c03f2-1b8d-4c77-8f9b-b1cea9641c17	PCD-NF
f0c934a8-4c7f-4167-84f2-41966479d55f	PCD-PN
0973056d-288c-4131-b94f-40bab869d7bd__92c593d4-55f5-4c35-a345-02eeb5569da8__e26e6c97-18ae-4ce9-aa6d-e49a12e02334	PCD-A
36a392eb-50ac-46a2-ad0a-d0c95517e189__5c482bec-a355-49ce-897a-27c21b4ed502__ce7e9ecf-6fdb-4036-bbbe-7bcbbf03a12e	PCD-A
08231998-9193-483d-8e11-8d2a56e93c13__1deed06d-9446-4a4f-b452-350daba32d1c__6575f015-252b-416f-b87a-9dd2a2877cd8	PCD-PN
1290912a-7232-412d-9d0e-4e7945c1210b__45e9f745-57ab-4b1f-9c77-291c5b859434	PCD-NF
781691bd-ce92-4eae-b8f2-832ae8715fad	PCD-A
04a592ba-1163-4f3f-b448-986572a8f0cf	PCD-FA
80a7b8a9-999d-4305-81d9-cdc83bed1ca1	PCD-NF
0291f03c-1348-40e1-b4f0-1d9c9683de41__1144ee40-6830-4df2-b072-7ff9f2dd9550__7ed3d7a2-dd9c-4557-ba6b-8fcc2a7f02a2__ac8664aa-6fe4-429a-8223-ea6920f9fe0f	PCD-A
533c2b91-2d31-4fa1-a72a-3fdd9e6a6b7c	PCD-NF
e4ecc162-058a-41e2-b20e-5cdebdcf17d4	PCD-PN
583d3b54-b3f5-47c9-90c6-479f14861f72	PCD-PN
00ff9dcc-d053-42d1-8c0c-1b67f9c080da__9b446072-9587-4282-b448-ece42ad1989b	PCD-NF
8336dd6f-04af-4a60-b292-fd7fd037e97c__d0a0447f-dbac-422d-b849-269d594ac68b	PCD-FA
0b51e408-55be-47bc-9d43-6030e1492c8d__65b2eca5-17b8-446c-8ca3-7dfb8d47156f	PCD-P
334d4ec6-ae9a-426b-9e32-7b814959b281	PCD-NF
33d1fd2e-ac99-463e-9f55-ffbae5584510__3c6df92f-bccf-436e-ac97-85c81ed25f42__5000e4a1-f428-461d-9551-e208d0038374__c74a5ee1-f941-498d-8cb5-7e124e731932__d5b4667b-86a2-4668-b8f4-0d34a7fca14c	PCD-P
98817a33-a7e1-4292-9906-43c68fe93694	PCD-FA
c613046a-5d1a-4e22-b27e-c5e06098e2e0	PCD-A
2ecc0088-a127-4131-821f-c7d8863e3d39	PCD-A
51d66aaa-317b-4f2b-9473-c1e9c26dacc1__bb9b5076-8d1a-4dcb-b378-981489c10288__d669c0cf-af25-477d-b068-8edf3f333bb6	PCD-A
79d515db-a72f-4123-804c-374e55f1a3db	PCD-FA
be0ffcd2-e94d-440c-83b6-63a18b85d5e3	PCD-NF
c11320ab-4222-4cda-926d-cf04c4d9226b	PCD-NF
fb1f2148-150b-4a52-91ae-1806b914b23a	PCD-A
a9a7faeb-967c-4919-8188-5f55b883df47	PCD-NF
c80138f1-132b-472a-a97c-9913f0deee49	PCD-A
8a217600-83e2-4e9b-8dbb-9866731f0af4	PCD-P
704f4d9d-153b-4035-a30b-e3139a80aa74	PCD-FA
81537e8b-e699-46a1-898a-d6f5d72925f4	PCD-NF
e2f7dd9c-a07b-4069-be57-ca3c6887fae8	PCD-A
f453fef1-0be0-412d-9777-81fcdae4d74a	PCD-A
0dfe8e3c-53ba-41af-b010-194c5bae629a	PCD-FA
2ae6909b-6335-467f-894d-10ab4bd72771	PCD-P
3421bd7e-521d-4ed1-a091-13872c725b87	PCD-FA
6dac3d25-1743-4147-98f5-66d6eaede47f	PCD-P
18c78ae2-77c2-4d7a-8ada-d870c6d78225	PCD-A
ff431be2-733c-46e9-9195-7db7cfd50346	PCD-FA
c5c4e6ac-2064-4e56-9882-8d87368ac077	PCD-FA
64ae63cb-418d-4ceb-9f8a-dec0128e022a	PCD-P
c29a9399-df2b-451d-a988-7f7cdc4ef2fd__f8fbd3fd-9493-48c1-84f0-09228b4079fe	PCD-FA
36f269c8-c23d-4e85-84ea-4ad65a33330f__bf14e676-b939-404a-86cc-60d8c3543bc7	PCD-NF
93e466b9-246a-4bbd-9b2f-b72eafdea08b	PCD-P
1800339a-9306-48f1-a4cb-5836310680f1	PCD-FA
ddea2e45-72c5-4ca8-a55a-d2877579f9ed	PCD-FA
52444a61-31fe-4969-abb7-1bb4e2483738	PCD-A
4452ca35-8c6c-4549-a538-86c7f2e82f2f	PCD-PN
a0e4c6a1-c888-4b08-8a58-fe3be1d6ae56	PCD-P
5fbbf97f-00eb-4638-af32-071903813809__f11d74b0-fe0e-4d5b-abd5-bc4b13f7ec2c	PCD-PN
046bf2fc-bbc1-4b09-a91c-af7c1813a186	PCD-P
047df64a-d51f-44dd-a921-c4761ae9596f	PCD-P
80273d65-55f9-4ce6-b479-a9f849ab5389	PCD-NF
6e138fdf-589c-4414-961e-ec6f94f70ee2	PCD-FA
911e172f-3f03-4017-b5d1-e03c47f294ec	PCD-FA
1470e0ae-4e67-40fd-9070-df81f9ac5f4f__50f1d7b3-a37b-421c-9d2d-8972b27f5751	PCD-P
11b0767c-09fc-4d56-9f7c-c79afc767f44	PCD-PN
dcab0130-fe37-4b2a-b280-fb1e38438687	PCD-NF
2abe71bf-db7f-41d8-9ad0-839cc4124df3	PCD-FA
5ec858b5-3cb6-4941-b23d-058b6ccc1460__da19d5a4-05d0-4b53-916e-0de253882b6d	PCD-NF
f9f55b3e-27db-4c81-92d9-d441a7ee4683	PCD-FA
f1a06fdd-8997-419f-9efe-a7e39e0deedb	PCD-FA
47e6c920-ca69-4d27-a7db-4cc132b7d56e__909bf31a-6083-4f67-904a-7e94aeb90767	PCD-FA
c7641f5f-63de-4e12-8bd5-6cf17dd656ca	PCD-FA
d9d67912-ec84-42ad-81a8-43f3296a8c73	PCD-P
00848ea4-c3f9-40bb-b37d-c084eaf51dcb	PCD-NF
36c4f984-0e2a-4bec-bb53-897979484965	PCD-A
2240eac6-b4be-4056-9422-d688b48048bb	PCD-P
4126426c-203d-4cd4-ba17-0ef76440cf87	PCD-P
3685f8d1-9671-4aa7-913e-ebe31b68d425__afdd1407-65a2-4b64-b3ac-2102f1348383	PCD-P
9932a387-f56e-40c8-9b49-2dabb8b2d83b	PCD-PN
bac9d8f5-fb8c-41e8-a000-a249c6bfb69c	PCD-FA
f55d0d3a-4cde-42e0-bcd8-434d178584b9	PCD-PN
6efa9f62-df24-4381-8e8f-29a75adbcee9	PCD-NF
65986c99-2271-4722-bf28-fd85d1e76132	PCD-NF
b6edf615-6f46-413a-90df-7d4ec8430730	PCD-PN
4b126ae8-7051-4a79-977d-114ff0f45db6	PCD-PN
88ce038f-891b-43b8-89ec-93a674e6cf1e	PCD-FA
a1e66fe5-9cc5-4d65-a28c-242188cd5742	PCD-PN
edb19d15-2ba2-4ca4-aee0-ec76bdf4b0e2	PCD-A
7686a019-76f6-4073-be1c-76ccf78d6522	PCD-PN
baee1813-ac46-4dc8-88d3-edada99c55f0	PCD-A
51aa96ad-06ed-4ae5-870b-3d0e9563d928	PCD-A
1f47716a-3b7c-4d8e-88e9-4c037fd279aa	PCD-PN
074b2775-8494-456d-b251-fe74c53c60ff	PCD-P
b509f5d4-08d5-4e4e-8b02-eef8f9de0190	PCD-NF
e5d6c0f6-ae27-4825-989b-bf95c47422c6	PCD-FA
853ff0d4-5efd-48b2-b86b-884f2f5e2a14	PCD-FA
346351ee-f6a5-48b7-9867-7c096f3d2f2f	PCD-FA
5ef1f516-a224-4476-8b78-3ee7a72a9184	PCD-A
40bdca60-c897-44f5-8a29-4d10901463c6	PCD-PN
ea3f82f1-e426-401b-93ed-4c7bdc50eba6	PCD-A
10303ceb-92eb-4ee3-9420-8448bc242a88	PCD-A
8a97f81d-5070-4632-9367-a1b4c1318478	PCD-A
d2496178-3956-4b2f-a639-885555955cf7	PCD-A
c2209f8b-f56d-4dca-98c7-4bb845d1ac6f	PCD-A
33dbc847-dc41-406e-8413-bae1fd7d8d3b	PCD-NF
278f5083-10c9-47be-bb16-388d40414838	PCD-PN
b31d4d14-7aff-445e-b550-d0769c771011	PCD-A
1223f3ec-1d91-441e-bbb3-b2b9b8ce0d39	PCD-NF
f477b266-2020-4309-9836-50d7ead88615	PCD-FA
c23f3c5e-2a9d-4434-9f96-b229d2faf016	PCD-FA
9182fd8c-5336-436f-b493-7fc8ce6e7c14	PCD-NF
8fc8a87b-0e72-4bab-afd1-0bbeeb495c8f	PCD-FA
faeeaa0c-90cb-403b-a125-3179cd34e7fd	PCD-FA
108176e6-7b93-4f62-8c0b-fd604046673b	PCD-A
df48e9d9-cb57-4ff8-b714-5232c4113e46	PCD-A
446721d8-cba9-4a91-9593-7e3f62d579e1	PCD-A
1879fb2c-9f39-415d-8a28-42093c4030f2	PCD-FA
9c189695-c2d2-4acb-a6dc-dcb02a01680a	PCD-NF
